categoria,frecuencia,porcentaje
1,26550,37.9589
9,5195,7.4274
5,3313,4.7366
22,3069,4.3878
12,2799,4.0018
10,2580,3.6887
13,2287,3.2698
18,2257,3.2269
11,1998,2.8566
14,1918,2.7422
6,1911,2.7322
19,1855,2.6521
17,1830,2.6164
20,1724,2.4648
16,1711,2.4462
21,1547,2.2118
3,1446,2.0674
4,1379,1.9716
15,1306,1.8672
2,1243,1.7771
8,1234,1.7643
7,792,1.1323
